encoding_dim,dropout,batch_size,auc_roc,pr_auc,recall,precision,f1_score
64,0.1,256,0.9569896786101659,0.5934873693810915,0.8169014084507042,0.02725563909774436,0.0527512505684402
64,0.1,128,0.9594821802212257,0.5663619941455499,0.8169014084507042,0.02725563909774436,0.0527512505684402
64,0.2,256,0.9617807579803809,0.5434779336023509,0.8309859154929577,0.027725563909774435,0.053660754888585724
64,0.2,128,0.9592852729254457,0.4996546479932956,0.8309859154929577,0.027725563909774435,0.053660754888585724
64,0.3,256,0.9628929195583973,0.4561022506560913,0.8309859154929577,0.027725563909774435,0.053660754888585724
64,0.3,128,0.9634365693312578,0.4188865860251923,0.8169014084507042,0.02725563909774436,0.0527512505684402
64,0.4,256,0.9609762226153001,0.40435659894986375,0.8169014084507042,0.02725563909774436,0.0527512505684402
64,0.4,128,0.9600248355127944,0.4001911352959002,0.8169014084507042,0.02725563909774436,0.0527512505684402
32,0.1,128,0.938559951310196,0.3868910443294035,0.8309859154929577,0.027725563909774435,0.053660754888585724
32,0.1,256,0.9408353245058755,0.38605015918374086,0.8309859154929577,0.027725563909774435,0.053660754888585724
32,0.2,256,0.9580047125153482,0.38521302603789626,0.8169014084507042,0.02725563909774436,0.0527512505684402
32,0.3,256,0.9552330931550516,0.3760722639473416,0.8309859154929577,0.027725563909774435,0.053660754888585724
32,0.2,128,0.948774268658458,0.36283025500676724,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.1,256,0.9552446954367895,0.34587608510698054,0.8309859154929577,0.027725563909774435,0.053660754888585724
32,0.3,128,0.9570994030460299,0.3342571268458213,0.8169014084507042,0.02725563909774436,0.0527512505684402
32,0.4,256,0.9648523791970425,0.3232529685160117,0.8591549295774648,0.028665413533834585,0.05547976352887676
16,0.2,256,0.9560147554504205,0.30571111273112583,0.8309859154929577,0.027725563909774435,0.053660754888585724
32,0.4,128,0.9617098183148978,0.30339390546091904,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.2,128,0.9560972973976414,0.2938588151284837,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.1,128,0.9561271318363959,0.2818722548575757,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.3,256,0.9602727928482209,0.27654946622882376,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.3,128,0.9580139943407385,0.26637645931971604,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.4,256,0.9587896897483564,0.24804445876246006,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.4,128,0.9601315765047828,0.2422951960432315,0.8309859154929577,0.027725563909774435,0.053660754888585724
