encoding_dim,dropout,batch_size,auc_roc,pr_auc,recall,precision,f1_score
64,0.1,256,0.961462855460763,0.5972421072378041,0.8169014084507042,0.02725563909774436,0.0527512505684402
64,0.1,128,0.9590512383281046,0.5850609462950199,0.8169014084507042,0.02725563909774436,0.0527512505684402
64,0.2,256,0.9626081664151733,0.5642211011655024,0.8169014084507042,0.02725563909774436,0.0527512505684402
64,0.2,128,0.9579771985329412,0.5204062572658594,0.8309859154929577,0.027725563909774435,0.053660754888585724
64,0.3,256,0.9644830951440142,0.46301542072321644,0.8309859154929577,0.027725563909774435,0.053660754888585724
64,0.3,128,0.9612125776689889,0.4399734468183902,0.8309859154929577,0.027725563909774435,0.053660754888585724
64,0.4,256,0.9619978863957611,0.41551338749531014,0.8169014084507042,0.02725563909774436,0.0527512505684402
32,0.1,256,0.9450714833152559,0.3892352037505727,0.8169014084507042,0.02725563909774436,0.0527512505684402
32,0.1,128,0.9441051789933728,0.3864533393951007,0.8309859154929577,0.027725563909774435,0.053660754888585724
64,0.4,128,0.9584518976029023,0.3818577444205951,0.8169014084507042,0.02725563909774436,0.0527512505684402
32,0.2,256,0.9502550513019749,0.3752826169181713,0.8169014084507042,0.02725563909774436,0.0527512505684402
32,0.4,256,0.9639609924658097,0.35976590708247635,0.8450704225352113,0.02819548872180451,0.054570259208731244
32,0.2,128,0.9505961583850685,0.35726920148608643,0.8309859154929577,0.027725563909774435,0.053660754888585724
32,0.4,128,0.9654324932839363,0.35428185839000703,0.8591549295774648,0.028665413533834585,0.05547976352887676
32,0.3,256,0.9615281597322591,0.3490720553257099,0.8450704225352113,0.02819548872180451,0.054570259208731244
32,0.3,128,0.9573297912119677,0.32251791699005783,0.8169014084507042,0.02725563909774436,0.0527512505684402
16,0.2,256,0.9598136739851649,0.30860342354610415,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.1,256,0.9558950862016384,0.3072324637967102,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.1,128,0.9557469084891576,0.29944224704631045,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.2,128,0.954029439298188,0.2768104162721279,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.3,128,0.9599071552265959,0.26885416288628305,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.3,256,0.9597768781773677,0.2636467358214468,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.4,256,0.9593920139174341,0.26291348753599075,0.8309859154929577,0.027725563909774435,0.053660754888585724
16,0.4,128,0.9589239447227519,0.23404337282848078,0.8309859154929577,0.027725563909774435,0.053660754888585724
